2016-06-03 19:50:37,526 | views | delete | DEBUG | DELETE request for units 1: 
2016-06-03 19:50:37,542 | views | get | DEBUG | GET request for units: id: 1 
2016-06-03 19:50:37,542 | views | get | DEBUG | GET request for units: id: 1 
2016-06-03 19:50:37,542 | views | get | DEBUG | 404 Error.  No units found with id 1. 
2016-06-03 19:50:37,542 | views | get | DEBUG | 404 Error.  No units found with id 1. 
2016-06-03 19:50:37,542 | __init__ | teardown | INFO | tearing down fixtures... 
2016-06-03 19:50:37,556 | __init__ | setup | INFO | setting up fixtures... 
2016-06-03 19:50:37,556 | views | index | DEBUG | GET request for all units 
2016-06-03 19:50:37,556 | views | index | DEBUG | GET request for all units 
2016-06-03 19:50:37,572 | views | index | DEBUG | Arguments passed in:  {} 
2016-06-03 19:50:37,572 | views | index | DEBUG | Arguments passed in:  {} 
2016-06-03 19:50:37,588 | __init__ | teardown | INFO | tearing down fixtures... 
2016-06-03 19:50:37,588 | __init__ | setup | INFO | setting up fixtures... 
2016-06-03 19:50:37,588 | views | get | DEBUG | GET request for units: id: 15 
2016-06-03 19:50:37,588 | views | get | DEBUG | GET request for units: id: 15 
2016-06-03 19:50:37,604 | views | get | DEBUG | 404 Error.  No units found with id 15. 
2016-06-03 19:50:37,604 | views | get | DEBUG | 404 Error.  No units found with id 15. 
2016-06-03 19:50:37,604 | __init__ | teardown | INFO | tearing down fixtures... 
2016-06-03 19:50:37,604 | __init__ | setup | INFO | setting up fixtures... 
2016-06-03 19:50:37,625 | views | get | DEBUG | GET request for units: id: 1 
2016-06-03 19:50:37,625 | views | get | DEBUG | GET request for units: id: 1 
2016-06-03 19:50:37,625 | views | get | DEBUG | units id:1 found. 
2016-06-03 19:50:37,625 | views | get | DEBUG | units id:1 found. 
2016-06-03 19:50:37,625 | __init__ | teardown | INFO | tearing down fixtures... 
2016-06-03 19:50:37,625 | __init__ | setup | INFO | setting up fixtures... 
2016-06-03 19:50:37,641 | views | put | DEBUG | PUT request for units: 
2016-06-03 19:50:37,641 | views | put | DEBUG | PUT request for units: 
