2016-06-01 14:53:10,908 | views | get_object | DEBUG | GET request for departments: id: 1 
2016-06-01 14:53:10,989 | views | get_object | DEBUG | GET request for departments: id: 15 
2016-06-01 14:53:11,019 | views | get_object | DEBUG | GET request for departments: id: 1 
2016-06-01 14:53:11,059 | models | update_from | DEBUG | Updating Produce from floral 
2016-06-01 14:53:11,181 | views | get_object | DEBUG | GET request for ingredients: id: 1 
2016-06-01 14:53:11,278 | views | get_object | DEBUG | GET request for ingredients: id: 15 
2016-06-01 14:53:11,308 | views | get_object | DEBUG | GET request for ingredients: id: 1 
2016-06-01 14:53:11,539 | views | get_object | DEBUG | GET request for recipes: id: 1 
2016-06-01 14:53:11,687 | views | get_object | DEBUG | GET request for recipes: id: 15 
2016-06-01 14:53:11,716 | views | get_object | DEBUG | GET request for recipes: id: 1 
2016-06-01 14:53:11,895 | views | get_object | DEBUG | GET request for units: id: 1 
2016-06-01 14:53:11,976 | views | get_object | DEBUG | GET request for units: id: 15 
2016-06-01 14:53:12,006 | views | get_object | DEBUG | GET request for units: id: 1 
2016-06-01 14:54:03,513 | __init__ | <module> | WARNING | THE APP IS STARTING 
2016-06-01 14:54:05,461 | views | get_object | DEBUG | GET request for departments: id: 1 
2016-06-01 14:54:05,543 | views | get_object | DEBUG | GET request for departments: id: 15 
2016-06-01 14:54:05,573 | views | get_object | DEBUG | GET request for departments: id: 1 
2016-06-01 14:54:05,615 | models | update_from | DEBUG | Updating Produce from floral 
2016-06-01 14:54:05,726 | views | get_object | DEBUG | GET request for ingredients: id: 1 
2016-06-01 14:54:05,822 | views | get_object | DEBUG | GET request for ingredients: id: 15 
2016-06-01 14:54:05,852 | views | get_object | DEBUG | GET request for ingredients: id: 1 
2016-06-01 14:54:06,088 | views | get_object | DEBUG | GET request for recipes: id: 1 
2016-06-01 14:54:06,232 | views | get_object | DEBUG | GET request for recipes: id: 15 
2016-06-01 14:54:06,263 | views | get_object | DEBUG | GET request for recipes: id: 1 
2016-06-01 14:54:06,446 | views | get_object | DEBUG | GET request for units: id: 1 
2016-06-01 14:54:06,525 | views | get_object | DEBUG | GET request for units: id: 15 
2016-06-01 14:54:06,555 | views | get_object | DEBUG | GET request for units: id: 1 
2016-06-01 14:59:19,296 | __init__ | <module> | WARNING | THE APP IS STARTING 
2016-06-01 14:59:21,257 | views | get_object | DEBUG | GET request for departments: id: 1 
2016-06-01 14:59:21,342 | views | get_object | DEBUG | GET request for departments: id: 15 
2016-06-01 14:59:21,374 | views | get_object | DEBUG | GET request for departments: id: 1 
2016-06-01 14:59:21,414 | models | update_from | DEBUG | Updating Produce from floral 
2016-06-01 14:59:21,526 | views | get_object | DEBUG | GET request for ingredients: id: 1 
2016-06-01 14:59:21,625 | views | get_object | DEBUG | GET request for ingredients: id: 15 
2016-06-01 14:59:21,654 | views | get_object | DEBUG | GET request for ingredients: id: 1 
2016-06-01 14:59:21,887 | views | get_object | DEBUG | GET request for recipes: id: 1 
2016-06-01 14:59:22,035 | views | get_object | DEBUG | GET request for recipes: id: 15 
2016-06-01 14:59:22,063 | views | get_object | DEBUG | GET request for recipes: id: 1 
2016-06-01 14:59:22,243 | views | get_object | DEBUG | GET request for units: id: 1 
2016-06-01 14:59:22,325 | views | get_object | DEBUG | GET request for units: id: 15 
2016-06-01 14:59:22,355 | views | get_object | DEBUG | GET request for units: id: 1 
2016-06-01 15:00:33,915 | __init__ | <module> | WARNING | THE APP IS STARTING 
2016-06-01 15:00:35,864 | views | get_object | DEBUG | GET request for departments: id: 1 
2016-06-01 15:00:35,950 | views | get_object | DEBUG | GET request for departments: id: 15 
2016-06-01 15:00:35,980 | views | get_object | DEBUG | GET request for departments: id: 1 
2016-06-01 15:00:36,023 | models | update_from | DEBUG | Updating Produce from floral 
2016-06-01 15:00:36,145 | views | get_object | DEBUG | GET request for ingredients: id: 1 
2016-06-01 15:00:36,250 | views | get_object | DEBUG | GET request for ingredients: id: 15 
2016-06-01 15:00:36,282 | views | get_object | DEBUG | GET request for ingredients: id: 1 
2016-06-01 15:00:36,542 | views | get_object | DEBUG | GET request for recipes: id: 1 
2016-06-01 15:00:36,693 | views | get_object | DEBUG | GET request for recipes: id: 15 
2016-06-01 15:00:36,726 | views | get_object | DEBUG | GET request for recipes: id: 1 
2016-06-01 15:00:36,911 | views | get_object | DEBUG | GET request for units: id: 1 
2016-06-01 15:00:36,996 | views | get_object | DEBUG | GET request for units: id: 15 
2016-06-01 15:00:37,033 | views | get_object | DEBUG | GET request for units: id: 1 
2016-06-01 15:01:16,203 | __init__ | <module> | WARNING | THE APP IS STARTING 
2016-06-01 15:01:16,322 | schemas | RecipeSchema | DEBUG | In baseschema 
2016-06-01 15:01:16,334 | views | <module> | WARNING | logging 
2016-06-01 15:01:18,279 | views | get_object | DEBUG | GET request for departments: id: 1 
2016-06-01 15:01:18,364 | views | get_object | DEBUG | GET request for departments: id: 15 
2016-06-01 15:01:18,392 | views | get_object | DEBUG | GET request for departments: id: 1 
2016-06-01 15:01:18,434 | models | update_from | DEBUG | Updating Produce from floral 
2016-06-01 15:01:18,546 | views | get_object | DEBUG | GET request for ingredients: id: 1 
2016-06-01 15:01:18,644 | views | get_object | DEBUG | GET request for ingredients: id: 15 
2016-06-01 15:01:18,674 | views | get_object | DEBUG | GET request for ingredients: id: 1 
2016-06-01 15:01:18,910 | views | get_object | DEBUG | GET request for recipes: id: 1 
2016-06-01 15:01:19,055 | views | get_object | DEBUG | GET request for recipes: id: 15 
2016-06-01 15:01:19,085 | views | get_object | DEBUG | GET request for recipes: id: 1 
2016-06-01 15:01:19,275 | views | get_object | DEBUG | GET request for units: id: 1 
2016-06-01 15:01:19,355 | views | get_object | DEBUG | GET request for units: id: 15 
2016-06-01 15:01:19,384 | views | get_object | DEBUG | GET request for units: id: 1 
2016-06-01 15:03:06,700 | __init__ | <module> | WARNING | THE APP IS STARTING 
2016-06-01 15:03:06,805 | schemas | <module> | DEBUG | loading schemas.py 
2016-06-01 15:03:08,740 | views | create_object | DEBUG | POST request for departments: 
2016-06-01 15:03:08,756 | views | get_objects | DEBUG | GET request for all departments 
2016-06-01 15:03:08,793 | views | delete_object | DEBUG | DELETE request for departments 1: 
2016-06-01 15:03:08,802 | views | get_object | DEBUG | GET request for departments: id: 1 
2016-06-01 15:03:08,831 | views | get_objects | DEBUG | GET request for all departments 
2016-06-01 15:03:08,884 | views | get_object | DEBUG | GET request for departments: id: 15 
2016-06-01 15:03:08,914 | views | get_object | DEBUG | GET request for departments: id: 1 
2016-06-01 15:03:08,954 | views | update_object | DEBUG | PUT request for departments: 
2016-06-01 15:03:08,957 | views | update_object | DEBUG | Incoming data: {u'name': u'floral'} 
2016-06-01 15:03:08,960 | models | update_from | DEBUG | Updating Produce from floral 
2016-06-01 15:03:08,993 | views | create_object | DEBUG | POST request for ingredients: 
2016-06-01 15:03:09,023 | views | create_object | DEBUG | POST request for ingredients: 
2016-06-01 15:03:09,033 | views | get_objects | DEBUG | GET request for all ingredients 
2016-06-01 15:03:09,076 | views | delete_object | DEBUG | DELETE request for ingredients 1: 
2016-06-01 15:03:09,084 | views | get_object | DEBUG | GET request for ingredients: id: 1 
2016-06-01 15:03:09,114 | views | get_objects | DEBUG | GET request for all ingredients 
2016-06-01 15:03:09,200 | views | get_object | DEBUG | GET request for ingredients: id: 15 
2016-06-01 15:03:09,232 | views | get_object | DEBUG | GET request for ingredients: id: 1 
2016-06-01 15:03:09,273 | views | update_object | DEBUG | PUT request for ingredients: 
2016-06-01 15:03:09,276 | views | update_object | DEBUG | Incoming data: {u'department': {u'name': u'Meat', u'id': 3}} 
2016-06-01 15:03:09,316 | views | update_object | DEBUG | PUT request for ingredients: 
2016-06-01 15:03:09,319 | views | update_object | DEBUG | Incoming data: {u'name': u'watermelon'} 
